"icao","counts","latitude","longitude"
"enor",542,69.4078,29.9701
"enor",543,69.4064,29.9599
"enor",544,69.4053,29.9493
"enor",545,69.4053,29.9447
"enor",546,69.4054,29.9414
"enor",547,69.406,29.9378
"enor",548,69.407,29.9349
"enor",549,69.4082,29.933
"enor",550,69.4108,29.9333
"enor",551,69.412,29.933
"enor",552,69.413,29.9323
"enor",553,69.4146,29.9287
"enor",554,69.4168,29.9202
"enor",555,69.4179,29.9179
"enor",556,69.4186,29.9152
"enor",557,69.4184,29.9113
"enor",558,69.4178,29.904
"enor",559,69.4182,29.9003
"enor",560,69.4197,29.8943
"enor",561,69.4225,29.8818
"enor",562,69.4238,29.8713
"enor",563,69.4241,29.8679
"enor",564,69.4239,29.8612
"enor",565,69.4231,29.8531
"enor",566,69.4217,29.8462
"enor",567,69.4205,29.8419
"enor",568,69.4173,29.8363
"enor",569,69.4155,29.8299
"enor",570,69.4138,29.8248
"enor",571,69.4118,29.8141
"enor",572,69.4095,29.8094
"enor",573,69.4087,29.8066
"enor",574,69.4072,29.7998
"enor",575,69.4062,29.7969
"enor",576,69.4035,29.7958
"enor",577,69.4023,29.7945
"enor",578,69.3999,29.7915
"enor",579,69.3987,29.7894
"enor",580,69.3976,29.7868
"enor",581,69.3979,29.783
"enor",582,69.3979,29.7787
"enor",583,69.3956,29.7752
"enor",584,69.3947,29.7724
"enor",585,69.394,29.7654
"enor",586,69.3939,29.7611
"enor",587,69.394,29.757
"enor",588,69.3917,29.7485
"enor",589,69.3911,29.7443
"enor",590,69.391,29.7411
"enor",591,69.391,29.7338
"enor",592,69.3901,29.726
"enor",593,69.3892,29.7227
"enor",594,69.3865,29.7205
"enor",595,69.3853,29.7175
"enor",596,69.3843,29.7129
"enor",597,69.3837,29.7117
"enor",598,69.3821,29.7119
"enor",599,69.3808,29.7128
"enor",600,69.3794,29.7124
"enor",601,69.3782,29.7104
"enor",602,69.3766,29.7049
"enor",603,69.3742,29.7011
"enor",604,69.3715,29.6979
"enor",605,69.3699,29.6968
"enor",606,69.3672,29.6976
"enor",607,69.3661,29.6972
"enor",608,69.3644,29.6959
"enor",609,69.3633,29.6943
"enor",610,69.3613,29.6895
"enor",611,69.3583,29.6814
"enor",612,69.3565,29.676
"enor",613,69.3556,29.673
"enor",614,69.3519,29.6621
"enor",615,69.3503,29.6567
"enor",616,69.3483,29.6476
"enor",617,69.3474,29.6438
"enor",618,69.3446,29.6362
"enor",619,69.3436,29.6341
"enor",620,69.34,29.6298
"enor",621,69.3387,29.6276
"enor",622,69.335,29.6175
"enor",623,69.3306,29.6028
"enor",624,69.3246,29.5889
"enor",625,69.3229,29.5837
"enor",626,69.3191,29.5752
"enor",627,69.3178,29.5707
"enor",628,69.3167,29.5645
"enor",629,69.3163,29.5539
"enor",630,69.3163,29.5454
"enor",631,69.3166,29.5416
"enor",632,69.3172,29.5385
"enor",633,69.318,29.5354
"enor",634,69.3191,29.5331
"enor",635,69.3202,29.5314
"enor",636,69.323,29.5283
"enor",637,69.3282,29.5274
"enor",638,69.3289,29.5234
"enor",639,69.329,29.5212
"enor",640,69.3278,29.5186
"enor",641,69.3272,29.5153
"enor",642,69.3272,29.5138
"enor",643,69.3272,29.5126
"enor",644,69.3283,29.5091
"enor",645,69.3287,29.5056
"enor",646,69.3277,29.5031
"enor",647,69.3253,29.4996
"enor",648,69.3244,29.4972
"enor",649,69.3222,29.4879
"enor",650,69.3219,29.4855
"enor",651,69.322,29.4752
"enor",652,69.3215,29.4628
"enor",653,69.321,29.4595
"enor",654,69.3209,29.4564
"enor",655,69.321,29.4523
"enor",656,69.3214,29.445
"enor",657,69.3214,29.4411
"enor",658,69.3207,29.4296
"enor",659,69.3191,29.4211
"enor",660,69.3187,29.4177
"enor",661,69.3185,29.4136
"enor",662,69.319,29.4104
"enor",663,69.3208,29.4062
"enor",664,69.3224,29.398
"enor",665,69.3225,29.3957
"enor",666,69.3222,29.3918
"enor",667,69.3217,29.3889
"enor",668,69.3209,29.3863
"enor",669,69.3199,29.3851
"enor",670,69.3185,29.3823
"enor",671,69.3181,29.3769
"enor",672,69.3165,29.3728
"enor",673,69.3143,29.3686
"enor",674,69.3133,29.366
"enor",675,69.3109,29.3568
"enor",676,69.3096,29.3499
"enor",677,69.3077,29.3358
"enor",678,69.3071,29.3342
"enor",679,69.306,29.3323
"enor",680,69.3051,29.3279
"enor",681,69.3017,29.3199
"enor",682,69.301,29.314
"enor",683,69.3001,29.3032
"enor",684,69.2995,29.3
"enor",685,69.2986,29.2969
"enor",686,69.2966,29.2916
"enor",687,69.2935,29.2854
"enor",688,69.2908,29.2845
"enor",689,69.288,29.2849
"enor",690,69.2816,29.2823
"enor",691,69.2779,29.2781
"enor",692,69.2752,29.2766
"enor",693,69.2739,29.2766
"enor",694,69.2713,29.2756
"enor",695,69.2674,29.2758
"enor",696,69.2646,29.2768
